,Medium,Classification,Culture,Object Begin Date,Historical Period,height,diam,width,depth
12948,terracotta,Vases,Greek,-299,Antiquity,38.8,-1.0,-1.0,-1.0
2387,terracotta,Terracottas,Roman,200,Antiquity,-1.0,10.5,-1.0,-1.0
8343,bronze,Metalwork,Kazakhstan,-599,Antiquity,5.7,-1.0,8.1,-1.0
11288,gold,Metalwork,China,-99,Antiquity,7.3,-1.0,11.7,-1.0
1996,terracotta,Ceramics,Pakistan,250,Antiquity,7.6,-1.0,-1.0,-1.0
8071,terracotta,Vases,Greek,-480,Antiquity,12.6,-1.0,-1.0,-1.0
12068,glass,Glass,Roman,1,Antiquity,6.2,-1.0,-1.0,-1.0
12955,bronze,Metalwork,Thailand,-500,Antiquity,4.4,2.9,-1.0,-1.0
4663,terracotta,Terracottas,Greek,-7000,Antiquity,2.5,-1.0,8.6,-1.0
10103,terracotta,Vases,Greek,-525,Antiquity,9.0,-1.0,-1.0,-1.0
7841,gold,Gems,Roman,-30,Antiquity,1.3,-1.0,1.0,1.6
2778,terracotta,Terracottas,Roman,200,Antiquity,3.5,-1.0,9.1,-1.0
4607,"glass,gold,paste",Gems,Cypriot,-599,Antiquity,-1.0,-1.0,-1.0,-1.0
9314,glass,Glass,Roman,100,Antiquity,-1.0,5.6,-1.0,-1.0
13214,terracotta,Vases,Etruscan,-560,Antiquity,-1.0,9.9,-1.0,-1.0
2788,bronze,Coins,Roman,251,Antiquity,2.7,-1.0,-1.0,-1.0
12215,"glass,gold",Gold,Roman,100,Antiquity,0.8,-1.0,2.1,-1.0
8636,terracotta,Vases,Aegean,-2000,Antiquity,5.3,-1.0,9.1,1.0
811,glass,Glass,Roman,200,Antiquity,-1.0,-1.0,-1.0,-1.0
8664,bronze,Miscellaneous,Ibero-Roman or Visigothic,375,Antiquity,4.0,-1.0,3.1,-1.0
4674,gold,Gold,Roman,1,Antiquity,1.6,-1.0,0.4,3.0
7145,bronze,Metalwork,Roman,1,Antiquity,11.9,-1.0,2.6,0.6
10670,terracotta,Vases,Greek,-480,Antiquity,36.5,-1.0,-1.0,-1.0
2186,terracotta,Vases,Etruscan,-325,Antiquity,15.0,-1.0,-1.0,-1.0
6195,glass,Gems,Roman,-99,Antiquity,1.2,-1.0,0.4,-1.0
2188,glass,Glass,Roman,300,Antiquity,3.0,-1.0,-1.0,-1.0
8943,"bronze,iron",Reproductions,Irish,400,Antiquity,25.4,-1.0,14.3,12.7
12729,terracotta,Vases,Cypriot,-1600,Antiquity,11.6,-1.0,-1.0,-1.0
10436,bronze,Jewelry,Thailand,-2700,Antiquity,-1.0,8.7,-1.0,-1.0
6822,terracotta,Vases,Greek,-470,Antiquity,-1.0,10.2,-1.0,-1.0
6316,iron,Armor,Japanese,450,Antiquity,44.5,-1.0,42.6,-1.0
10361,gold,Gold,Roman,-670,Antiquity,0.6,-1.0,1.4,2.2
9357,bronze,Bronzes,Greek,-600,Antiquity,22.6,-1.0,18.5,-1.0
2783,bronze,Metalwork,China,-299,Antiquity,4.4,-1.0,9.0,-1.0
2630,gold,Metal,Greater,450,Antiquity,-1.0,3.3,-1.0,-1.0
12172,bronze,Miscellaneous,Ibero-Roman,-125,Antiquity,3.8,-1.0,2.8,-1.0
10053,silver,Coins,Roman,-40,Antiquity,1.8,-1.0,0.2,-1.0
367,terracotta,Vases,Cypriot,-3200,Antiquity,21.9,-1.0,-1.0,-1.0
13349,bronze,Metalwork,Thailand,-500,Antiquity,2.9,-1.0,4.1,7.6
11252,terracotta,Vases,Greek,-550,Antiquity,3.2,-1.0,-1.0,-1.0
11675,"alloy,silver",Metalwork,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
11430,bronze,Jewelry,Thailand,-300,Antiquity,4.4,-1.0,6.5,-1.0
255,glass,Glass,Greek,-199,Antiquity,-1.0,7.0,-1.0,-1.0
9987,gold,Metalwork,Coptic,100,Antiquity,7.7,-1.0,3.2,0.5
1913,silk,Textiles,China,0,Antiquity,19.7,-1.0,6.4,-1.0
4919,glass,Glass,Roman,1,Antiquity,0.9,-1.0,2.4,-1.0
4381,terracotta,Vases,Greek,-475,Antiquity,43.2,-1.0,-1.0,-1.0
12229,terracotta,Vases,Native,-300,Antiquity,21.7,-1.0,-1.0,-1.0
8210,glass,Glass,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
8302,"ink,paper",Rubbing,China,0,Antiquity,146.7,-1.0,62.9,-1.0
9122,glass,Glass,Roman,300,Antiquity,-1.0,3.8,-1.0,-1.0
3853,silk,Textiles,China,0,Antiquity,12.7,-1.0,12.4,-1.0
3496,silk,Textiles,Japan,0,Antiquity,8.9,-1.0,4.4,-1.0
10002,bronze,Metalwork,Iran,-900,Antiquity,-1.0,9.4,-1.0,-1.0
10518,terracotta,Terracottas,Cypriot,-600,Antiquity,15.7,-1.0,-1.0,-1.0
4902,terracotta,Terracottas,Greek,-299,Antiquity,6.4,-1.0,-1.0,-1.0
12971,terracotta,Vases,Minoan,-2900,Antiquity,6.2,-1.0,5.2,-1.0
12708,"bronze,gilt",Metalwork,North,-500,Antiquity,5.9,-1.0,5.1,-1.0
10003,terracotta,Vases,Etruscan,-480,Antiquity,35.2,-1.0,-1.0,-1.0
4127,terracotta,Vases,Cypriot,-1900,Antiquity,9.7,-1.0,-1.0,-1.0
4492,gold,Gold,Roman,286,Antiquity,-1.0,5.4,-1.0,-1.0
4011,terracotta,Vases,Minoan,-2600,Antiquity,4.1,-1.0,5.0,0.6
3053,bronze,Bronzes,Italic or Roman,-600,Antiquity,-1.0,15.1,-1.0,-1.0
2569,glass,Glass,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
8215,glass,Glass,Roman,1,Antiquity,1.0,-1.0,2.5,-1.0
8224,terracotta,Sculpture,India,100,Antiquity,14.0,-1.0,8.9,-1.0
5160,terracotta,Terracottas,Greek,-100,Antiquity,3.5,-1.0,10.2,-1.0
4997,glass,Glass,Roman,1,Antiquity,4.1,8.0,-1.0,-1.0
10250,terracotta,Vases,Greek,-399,Antiquity,10.3,-1.0,-1.0,-1.0
12369,bronze,Metalwork,China,-599,Antiquity,3.8,-1.0,4.1,-1.0
3361,terracotta,Vases,Greek,-399,Antiquity,43.6,-1.0,-1.0,-1.0
1472,glass,Glass,Roman,40,Antiquity,-1.0,-1.0,-1.0,-1.0
7301,glass,Glass,Assyrian,-800,Antiquity,1.4,-1.0,1.7,-1.0
2688,glass,Glass,Roman,300,Antiquity,16.3,-1.0,-1.0,-1.0
10927,terracotta,Vases,Greek,-520,Antiquity,16.3,-1.0,-1.0,-1.0
4728,bronze,Metalwork,Indonesia,-500,Antiquity,12.1,-1.0,13.3,-1.0
7229,terracotta,Vases,Cypriot,-850,Antiquity,-1.0,23.2,-1.0,-1.0
5537,glass,Glass,Roman,-25,Antiquity,1.5,-1.0,2.4,-1.0
9811,glass,Glass,Roman,100,Antiquity,-1.0,-1.0,-1.0,-1.0
5476,gold,Gold,Greek,-399,Antiquity,-1.0,-1.0,-1.0,-1.0
12830,terracotta,Vases,Greek,-540,Antiquity,35.7,-1.0,-1.0,-1.0
4192,gold,Metalwork,Scythian,-700,Antiquity,0.79,-1.0,1.1,0.25
3666,terracotta,Vases,Greek,-450,Antiquity,12.7,-1.0,11.4,9.8
6662,bronze,Shafted,Chinese,-400,Antiquity,38.6,-1.0,41.6,-1.0
6586,terracotta,Ceramics,Pakistan,250,Antiquity,15.2,-1.0,17.8,-1.0
2182,gold,Metalwork,Iran,-1000,Antiquity,1.19,-1.0,1.19,-1.0
9816,iron,Metalwork,Sasanian,200,Antiquity,-1.0,8.0,-1.0,-1.0
8344,glass,Glass,Roman,100,Antiquity,-1.0,3.9,-1.0,-1.0
3694,gold,Gold,Minoan,-2999,Antiquity,5.3,-1.0,-1.0,-1.0
3037,gold,Coins,Greek,-261,Antiquity,-1.0,2.8,-1.0,-1.0
1372,terracotta,Vases,Cypriot,-799,Antiquity,7.3,-1.0,-1.0,-1.0
8638,gold,Gems,Greek,-499,Antiquity,1.4,-1.0,-1.0,-1.0
4003,glass,Glass,Roman,-25,Antiquity,-1.0,-1.0,-1.0,-1.0
5621,terracotta,Terracottas,East,-900,Antiquity,2.5,-1.0,7.9,-1.0
4408,terracotta,Vases,Cypriot,-310,Antiquity,-1.0,24.1,-1.0,-1.0
6885,glass,Glass,Greek,0,Antiquity,20.9,7.5,-1.0,-1.0
10645,glass,Glass,Roman,100,Antiquity,12.7,-1.0,-1.0,-1.0
11002,terracotta,Vases,Greek,-330,Antiquity,62.9,-1.0,-1.0,-1.0
8567,gold,Metal,Zenú,1,Antiquity,-1.0,-1.0,-1.0,-1.0
6078,terracotta,Vases,Cypriot,-699,Antiquity,-1.0,12.1,-1.0,-1.0
5107,terracotta,Vases,Cypriot,-850,Antiquity,14.6,-1.0,-1.0,-1.0
13230,terracotta,Vases,Greek,-475,Antiquity,14.0,-1.0,-1.0,-1.0
9061,glass,Glass,Roman,30,Antiquity,-1.0,7.0,-1.0,-1.0
6050,gold,Metal,Salinar,-100,Antiquity,-1.0,3.5,-1.0,-1.0
7479,glass,Glass,Roman,200,Antiquity,-1.0,7.0,-1.0,-1.0
3465,terracotta,Vases,Etruscan,-299,Antiquity,10.0,-1.0,-1.0,-1.0
10669,bronze,Metalwork,Thailand,-500,Antiquity,9.5,-1.0,7.9,-1.0
8168,terracotta,Vases,Greek,-325,Antiquity,-1.0,25.2,-1.0,-1.0
1075,gold,Gold,Greek,-499,Antiquity,-1.0,2.2,-1.0,-1.0
3151,copper,Jewelry,Japan,450,Antiquity,-1.0,7.6,-1.0,-1.0
5689,glass,Glass,Roman,-25,Antiquity,3.1,-1.0,3.9,-1.0
8390,glass,Glass,Roman,-25,Antiquity,1.6,-1.0,2.4,-1.0
11073,silver,Metalwork,Bactria-Margiana,-2250,Antiquity,10.69,-1.0,3.0,-1.0
10395,terracotta,Vases,Roman,100,Antiquity,6.1,-1.0,8.6,0.8
3126,bronze,Metalwork,China,-206,Antiquity,49.2,29.5,-1.0,-1.0
4196,terracotta,Vases,Greek,-499,Antiquity,7.3,-1.0,4.1,4.9
2593,terracotta,Vases,Greek,-530,Antiquity,8.3,-1.0,7.0,9.7
7006,glass,Glass,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
2837,bronze,Metalwork,Phrygian,-800,Antiquity,9.09,-1.0,29.49,-1.0
11936,terracotta,Vases,Greek,-625,Antiquity,-1.0,3.1,-1.0,-1.0
4989,"copper,gilt",Metal,Vicús,-300,Antiquity,8.3,-1.0,8.6,-1.0
1386,bronze,Metalwork,Iran,-800,Antiquity,4.3,-1.0,8.6,8.6
6505,terracotta,Vases,Greek,-499,Antiquity,7.9,-1.0,-1.0,-1.0
374,terracotta,Vases,Greek,-520,Antiquity,-1.0,-1.0,-1.0,-1.0
8155,terracotta,Terracottas,Greek,-7000,Antiquity,6.5,-1.0,7.9,-1.0
3269,glass,Glass,Greek,-150,Antiquity,-1.0,27.9,-1.0,-1.0
7520,bronze,Metalwork,Assyrian,-721,Antiquity,3.2,-1.0,2.1,0.5
9239,glass,Glass,China,-500,Antiquity,2.7,-1.0,-1.0,4.4
8857,terracotta,Vases,Greek,-7000,Antiquity,-1.0,3.0,-1.0,-1.0
12473,terracotta,Vases,Roman,-670,Antiquity,-1.0,5.9,-1.0,-1.0
3365,gold,Metalwork,Early,-1750,Antiquity,10.7,-1.0,10.2,-1.0
2214,gold,Gold,Greek,-499,Antiquity,-1.0,2.7,-1.0,-1.0
7557,terracotta,Vases,Greek,-499,Antiquity,3.7,-1.0,2.2,3.4
7974,bronze,Bronzes,Roman,1,Antiquity,7.6,-1.0,-1.0,-1.0
8440,terracotta,Vases,Cypriot,-750,Antiquity,-1.0,11.8,-1.0,-1.0
7495,terracotta,Terracottas,Roman,1,Antiquity,3.4,-1.0,-1.0,9.2
10087,terracotta,Vases,Cypriot,-2000,Antiquity,3.8,-1.0,-1.0,-1.0
11559,gold,Gold,Etruscan,-900,Antiquity,2.1,-1.0,0.4,-1.0
13194,bronze,Metalwork,China,-400,Antiquity,10.5,-1.0,-1.0,16.5
13381,terracotta,Vases,Greek,-399,Antiquity,5.1,-1.0,3.5,-1.0
3157,bronze,Bronzes,Roman,100,Antiquity,7.6,-1.0,-1.0,-1.0
11615,bronze,Mirrors,China,-400,Antiquity,-1.0,16.7,-1.0,-1.0
11100,"glass,gold",Gold,Phoenician,-425,Antiquity,-1.0,-1.0,-1.0,-1.0
8761,terracotta,Vases,Cypriot,-600,Antiquity,21.0,-1.0,-1.0,-1.0
4362,terracotta,Vases,Roman,100,Antiquity,38.8,-1.0,-1.0,-1.0
11786,glass,Glass,Roman,-670,Antiquity,3.3,-1.0,2.3,-1.0
5788,glass,Glass,Roman,25,Antiquity,-1.0,-1.0,-1.0,-1.0
312,terracotta,Ceramics,China,-206,Antiquity,39.1,-1.0,38.2,-1.0
1114,terracotta,Vases,Greek,-475,Antiquity,5.7,-1.0,3.6,4.3
4862,terracotta,Terracottas,Greek,-199,Antiquity,29.1,-1.0,-1.0,-1.0
1388,bronze,Metalwork,Indonesia,-500,Antiquity,5.4,-1.0,-1.0,-1.0
11554,bronze,Bronzes,Greek,-399,Antiquity,3.5,-1.0,15.9,-1.0
7963,"bronze,copper",Metalwork,Iran,-900,Antiquity,7.6,-1.0,6.0,6.0
9037,terracotta,Vases,Greek,-350,Antiquity,14.0,-1.0,-1.0,-1.0
7506,gold,Gold,Cypriot,-1600,Antiquity,-1.0,2.2,-1.0,-1.0
6179,terracotta,Vases,Greek,-450,Antiquity,9.8,-1.0,-1.0,-1.0
8645,terracotta,Vases,Greek,-399,Antiquity,7.3,-1.0,6.4,-1.0
2850,terracotta,Vases,Roman,10,Antiquity,18.2,-1.0,-1.0,-1.0
12568,bronze,Bronzes,Greek,-299,Antiquity,11.4,-1.0,-1.0,-1.0
862,glass,Glass,Roman,100,Antiquity,15.5,-1.0,-1.0,-1.0
6211,bronze,Bronzes,Roman,50,Antiquity,-1.0,2.1,-1.0,-1.0
3356,bronze,Metalwork,Iran,-900,Antiquity,-1.0,40.6,-1.0,-1.0
2900,gold,Gold,Roman,200,Antiquity,1.0,-1.0,0.6,0.2
11142,gold,Gold,Greek,-399,Antiquity,3.5,-1.0,1.7,-1.0
10966,glass,Glass,Greek,-399,Antiquity,1.0,-1.0,1.3,-1.0
11853,gold,Gold,Roman,200,Antiquity,0.2,-1.0,0.8,-1.0
252,bronze,Metalwork,Iran,-2000,Antiquity,1.6,-1.0,6.2,-1.0
12116,terracotta,Vases,Italic-Native,-550,Antiquity,-1.0,-1.0,-1.0,-1.0
3457,terracotta,Vases,Cypriot,-1050,Antiquity,14.8,-1.0,-1.0,-1.0
12794,bronze,Metalwork,Iran,-800,Antiquity,-1.0,10.8,-1.0,-1.0
3103,bronze,Jewelry,Thailand,-310,Antiquity,7.3,15.2,-1.0,-1.0
2601,bronze,Bronzes,Cypriot,-3900,Antiquity,-1.0,8.7,-1.0,-1.0
8312,gold,Coins,Cypriot,-320,Antiquity,0.7,-1.0,0.1,-1.0
8452,terracotta,Vases,Greek,-450,Antiquity,10.4,-1.0,-1.0,-1.0
12112,terracotta,Vases,Etruscan,-700,Antiquity,-1.0,17.0,-1.0,-1.0
9267,terracotta,Vases,Neolithic,-3999,Antiquity,-1.0,5.9,-1.0,-1.0
10248,gold,Metalwork,Iran,-1000,Antiquity,-1.0,1.6,-1.0,-1.0
9265,"alloy,copper",Metalwork,Roman,1,Antiquity,7.5,-1.0,1.7,1.5
5247,"copper,silver",Gold,Roman,-670,Antiquity,1.9,-1.0,9.5,-1.0
2791,terracotta,Vases,Greek,-399,Antiquity,8.6,-1.0,-1.0,-1.0
1703,bronze,Bronzes,Cypriot,-499,Antiquity,-1.0,4.8,-1.0,-1.0
3580,gold,Gold,Cypriot,-1400,Antiquity,-1.0,-1.0,-1.0,3.3
3159,terracotta,Terracottas,Roman,40,Antiquity,-1.0,9.4,-1.0,-1.0
1291,glass,Glass,Greek,-299,Antiquity,1.6,-1.0,0.6,0.8
3988,iron,Metalwork,Sasanian,200,Antiquity,0.89,-1.0,1.09,-1.0
12071,bronze,Bronzes,Italic,-1200,Antiquity,-1.0,4.4,-1.0,-1.0
7559,terracotta,Vases,Minoan,-1950,Antiquity,4.3,-1.0,-1.0,-1.0
12702,terracotta,Vases,Greek,-520,Antiquity,33.0,-1.0,25.7,30.9
8197,glass,Glass,Roman,-25,Antiquity,5.7,-1.0,4.4,-1.0
3339,terracotta,Vases,Greek,-360,Antiquity,-1.0,-1.0,-1.0,-1.0
11569,terracotta,Terracottas,Greek,-7000,Antiquity,13.97,-1.0,-1.0,-1.0
9698,bronze,Bronzes,Italic,-699,Antiquity,-1.0,22.1,-1.0,-1.0
6744,gold,Gold,Etruscan,-900,Antiquity,1.7,-1.0,0.6,2.2
8868,glass,Glass,Roman,275,Antiquity,2.1,-1.0,1.7,-1.0
3884,gold,Gold,Italic,-900,Antiquity,1.3,-1.0,0.6,4.6
1438,"copper,gilt",Metal,Vicús,-300,Antiquity,-1.0,-1.0,-1.0,-1.0
4953,terracotta,Terracottas,Greek,-300,Antiquity,-1.0,14.3,-1.0,-1.0
4655,bronze,Bronzes,Italic,-500,Antiquity,-1.0,-1.0,-1.0,-1.0
12608,bronze,Bronzes,Cypriot,-3900,Antiquity,-1.0,15.9,-1.0,-1.0
6358,glass,Glass,Roman,-25,Antiquity,1.8,-1.0,3.3,-1.0
5094,"alloy,copper",Metalwork,Celtic,-199,Antiquity,7.2,-1.0,6.8,1.0
12816,gold,Metalwork,Iran,-700,Antiquity,2.79,-1.0,2.49,0.89
272,bronze,Bronzes,Minoan,-1600,Antiquity,-1.0,-1.0,-1.0,14.6
10378,glass,Glass,Sasanian,200,Antiquity,6.99,-1.0,4.45,-1.0
8345,bronze,Metalwork,Indonesia,-500,Antiquity,3.3,-1.0,1.7,-1.0
2881,silver,Coins,Roman,76,Antiquity,2.0,-1.0,0.2,-1.0
12491,gold,Gold,Greek,-399,Antiquity,1.0,-1.0,0.4,1.2
10135,terracotta,Vases,Greek,-530,Antiquity,7.8,-1.0,21.7,33.4
13276,terracotta,Vases,Greek,-400,Antiquity,22.0,-1.0,-1.0,-1.0
9308,bronze,Bronzes,Greek,-300,Antiquity,5.1,-1.0,4.4,4.4
4897,terracotta,Terracottas,Roman,-25,Antiquity,2.9,-1.0,8.9,-1.0
4908,"alloy,copper",Metalwork,Hattian,-2300,Antiquity,16.1,-1.0,14.6,7.4
233,terracotta,Vases,Dimini,-3800,Antiquity,-1.0,10.6,-1.0,-1.0
4967,bronze,Bronzes,Greek,-175,Antiquity,185.4,-1.0,-1.0,-1.0
7976,terracotta,Terracottas,Roman,70,Antiquity,2.4,-1.0,9.4,-1.0
9191,glass,Glass,Roman,40,Antiquity,-1.0,31.3,-1.0,-1.0
9362,copper,Metal,Moche,100,Antiquity,-1.0,-1.0,-1.0,-1.0
10535,bronze,Bronzes,Greek,-575,Antiquity,19.5,-1.0,-1.0,-1.0
615,terracotta,Vases,Roman,100,Antiquity,15.7,-1.0,-1.0,-1.0
13089,glass,Glass,Roman,100,Antiquity,-1.0,7.9,-1.0,-1.0
335,bronze,Metalwork,Indonesia,-500,Antiquity,4.1,-1.0,5.9,-1.0
10613,terracotta,Vases,Cypriot,-750,Antiquity,21.0,-1.0,-1.0,-1.0
1690,glass,Glass,Roman,100,Antiquity,9.5,-1.0,6.4,4.9
258,"alloy,copper",Metalwork,European,-1200,Antiquity,70.0,-1.0,2.1,-1.0
3617,bronze,Bronzes,Etruscan,-900,Antiquity,10.5,-1.0,5.4,2.8
9605,terracotta,Vases,Greek,-540,Antiquity,-1.0,-1.0,-1.0,-1.0
11152,glass,Glass,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
8081,bronze,Coins,Roman,-670,Antiquity,-1.0,-1.0,-1.0,-1.0
7366,terracotta,Terracottas,Cypriot,-600,Antiquity,10.5,-1.0,-1.0,-1.0
5984,bronze,Metalwork,China,-1099,Antiquity,113.3,-1.0,10.8,-1.0
380,terracotta,Vases,Minoan,-2600,Antiquity,3.8,-1.0,3.8,0.5
10093,"alloy,copper",Metalwork,Roman,100,Antiquity,3.1,-1.0,9.2,2.1
5149,"alloy,copper",Metalwork,Bactria-Margiana,-2300,Antiquity,-1.0,6.2,-1.0,-1.0
9007,glass,Glass,Phoenician,-599,Antiquity,-1.0,0.9,-1.0,1.0
7901,glass,Glass,Roman,-99,Antiquity,0.6,-1.0,1.6,-1.0
2253,terracotta,Vases,Greek,-399,Antiquity,4.1,-1.0,4.1,1.2
10167,bronze,Bronzes,Greek or Roman,-99,Antiquity,6.0,-1.0,-1.0,-1.0
1980,bronze,Metalwork,Indonesia,-510,Antiquity,19.4,-1.0,12.9,-1.0
885,terracotta,Vases,Minoan,-2600,Antiquity,4.7,-1.0,6.0,0.7
9856,silk,Textiles,China,200,Antiquity,7.0,-1.0,7.2,-1.0
9714,terracotta,Vases,Greek,-323,Antiquity,34.3,-1.0,29.8,-1.0
3674,terracotta,Vases,Cypriot,-1900,Antiquity,-1.0,21.5,-1.0,-1.0
9729,"bronze,gold,silver",Metalwork,China,-400,Antiquity,-1.0,-1.0,-1.0,24.8
1744,glass,Glass,Roman,300,Antiquity,-1.0,-1.0,-1.0,-1.0
11582,silver,Metalwork,Achaemenid,-500,Antiquity,-1.0,20.65,-1.0,-1.0
9360,"alloy,copper",Metalwork,Byzantine,400,Antiquity,32.8,-1.0,3.3,2.0
13303,copper,Textiles,Peru,100,Antiquity,-1.0,10.7,-1.0,-1.0
11893,bronze,Metalwork,Vietnam,-500,Antiquity,27.3,-1.0,5.9,-1.0
12434,bronze,Bronzes,Roman,-670,Antiquity,-1.0,16.4,-1.0,-1.0
5310,gold,Metalwork,Iran,-800,Antiquity,1.9,-1.0,1.6,0.2
4537,wood,Wood,Iran,-900,Antiquity,2.49,-1.0,2.21,0.08
10513,gold,Gold,Roman,100,Antiquity,0.9,-1.0,0.1,2.3
3121,iron,Sword,Japanese,275,Antiquity,9.4,-1.0,7.1,-1.0
3270,terracotta,Vases,Cypriot,-3200,Antiquity,-1.0,7.3,-1.0,-1.0
9784,bronze,Bronzes,Cypriot,-3900,Antiquity,-1.0,7.0,-1.0,-1.0
279,silver,Gold,Greek,-499,Antiquity,-1.0,4.0,-1.0,-1.0
11866,terracotta,Vases,Minoan,-1450,Antiquity,3.5,-1.0,5.1,-1.0
2994,terracotta,Vases,Greek,-560,Antiquity,38.7,-1.0,23.1,-1.0
6081,terracotta,Vases,Cypriot,-600,Antiquity,-1.0,11.0,-1.0,-1.0
7971,gold,Gold,Greek,-399,Antiquity,1.1,-1.0,0.5,1.1
11477,gold,Gold,Greek,-399,Antiquity,2.0,-1.0,0.3,1.5
3607,bronze,Metalwork,Hattian,-2300,Antiquity,20.02,-1.0,6.35,-1.0
11858,terracotta,Vases,Roman,-670,Antiquity,-1.0,-1.0,-1.0,-1.0
7596,terracotta,Vases,Lydian,-599,Antiquity,3.8,-1.0,-1.0,-1.0
8371,glass,Glass,Roman,175,Antiquity,11.7,8.3,-1.0,10.9
3635,terracotta,Vases,Greek,-330,Antiquity,5.0,-1.0,19.5,-1.0
2632,bronze,Metalwork,Iran,-1000,Antiquity,9.6,-1.0,6.3,-1.0
373,bronze,Bronzes,Etruscan,-600,Antiquity,6.7,-1.0,-1.0,-1.0
128,"gold,porcelain,ware",Ceramics,Japan,0,Antiquity,50.8,-1.0,-1.0,-1.0
10640,glass,Glass,Roman,1,Antiquity,-1.0,-1.0,-1.0,-1.0
10595,silver,Coins,Greek,-126,Antiquity,-1.0,-1.0,-1.0,-1.0
11951,terracotta,Vases,Cypriot,-1450,Antiquity,28.1,-1.0,-1.0,-1.0
6814,terracotta,Vases,Greek,-440,Antiquity,29.5,-1.0,-1.0,-1.0
7686,gold,Gems,Cypriot,-599,Antiquity,-1.0,1.5,-1.0,-1.0
228,terracotta,Sculpture,India,-100,Antiquity,10.0,-1.0,10.0,-1.0
2723,glass,Glass,Roman,100,Antiquity,0.8,4.9,-1.0,-1.0
3681,terracotta,Terracottas,Roman,50,Antiquity,2.2,-1.0,8.9,-1.0
10068,terracotta,Terracottas,Greek,-399,Antiquity,-1.0,20.6,-1.0,-1.0
8744,terracotta,Vases,Cypriot,-750,Antiquity,-1.0,16.5,-1.0,-1.0
11632,bronze,Bronzes,Roman,1,Antiquity,7.2,-1.0,-1.0,-1.0
5650,silver,Gold,Greek,-325,Antiquity,-1.0,25.1,-1.0,-1.0
6056,bronze,Metalwork,China,-1600,Antiquity,29.2,29.8,-1.0,-1.0
8442,glass,Glass,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
1462,bronze,Bronzes,Roman,-670,Antiquity,-1.0,10.2,-1.0,-1.0
4555,bronze,Bronzes,Greek,-400,Antiquity,-1.0,12.4,-1.0,-1.0
3972,bronze,Metalwork,China,-770,Antiquity,21.9,-1.0,-1.0,-1.0
7056,silk,Textiles,Japan,0,Antiquity,8.6,-1.0,13.0,-1.0
9828,glass,Glass,Roman,300,Antiquity,9.2,27.3,-1.0,-1.0
5460,glass,Glass,Assyrian,-800,Antiquity,2.21,-1.0,1.4,2.31
8100,terracotta,Vases,Aegean,-2000,Antiquity,10.9,-1.0,7.8,1.3
1158,glass,Glass,Roman,200,Antiquity,-1.0,-1.0,-1.0,-1.0
4243,bronze,Metalwork,Indonesia,-500,Antiquity,5.7,3.2,-1.0,-1.0
11091,glass,Glass,Roman,300,Antiquity,18.0,-1.0,-1.0,-1.0
3921,bronze,Metalwork,China,-206,Antiquity,-1.0,-1.0,-1.0,5.2
11072,bronze,Metalwork,China,-770,Antiquity,-1.0,10.3,-1.0,-1.0
866,silver,Gold,Greek,-325,Antiquity,9.4,-1.0,18.1,-1.0
4583,bronze,Bronzes,Greek,-1100,Antiquity,-1.0,12.4,-1.0,-1.0
1427,terracotta,Vases,Greek,-650,Antiquity,19.5,-1.0,13.1,-1.0
5872,terracotta,Terracottas,Greek,-299,Antiquity,5.38,-1.0,-1.0,-1.0
13102,terracotta,Terracottas,Greek,-299,Antiquity,21.0,-1.0,-1.0,-1.0
11555,terracotta,Terracottas,Roman,90,Antiquity,4.7,-1.0,7.6,10.2
11524,bronze,Bronzes,Cypriot,-299,Antiquity,-1.0,10.0,-1.0,-1.0
7424,"color,ink,paper,print,woodblock",Prints,Japan,11,Antiquity,23.2,-1.0,35.6,-1.0
9224,glass,Glass,Roman,50,Antiquity,11.5,-1.0,8.0,-1.0
7806,bronze,Bronzes,Roman,200,Antiquity,22.2,-1.0,-1.0,-1.0
3634,glass,Glass,Roman,100,Antiquity,7.8,-1.0,-1.0,-1.0
2695,bronze,Metalwork,Northwest,-1000,Antiquity,10.2,-1.0,6.0,7.0
333,silver,Metal,Tiwanaku,375,Antiquity,17.1,-1.0,-1.0,-1.0
10846,bronze,Bronzes,Greek or Etruscan,-499,Antiquity,-1.0,23.3,-1.0,-1.0
7476,terracotta,Vases,Roman,-670,Antiquity,4.8,-1.0,4.4,0.7
7076,bronze,Bronzes,Greek,-460,Antiquity,-1.0,21.3,-1.0,-1.0
11312,terracotta,Terracottas,Roman,40,Antiquity,2.7,-1.0,10.6,-1.0
1736,terracotta,Vases,Cypriot,-750,Antiquity,21.9,-1.0,-1.0,-1.0
6994,bronze,Metalwork,Sasanian,200,Antiquity,2.21,-1.0,3.48,-1.0
9133,terracotta,Vases,Greek,-500,Antiquity,18.0,-1.0,-1.0,-1.0
8996,gold,Gems,Etruscan,-399,Antiquity,-1.0,-1.0,-1.0,-1.0
4733,copper,Metal,Moche,100,Antiquity,-1.0,-1.0,-1.0,-1.0
